"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","Percentile"
"XLOC_018500","LVA_022647",20.3781,10.3351,-0.979469,0.03685,"Down",0.356940509915014
"XLOC_003490","LVA_004077",7.03346,3.56994,-0.978335,0.04765,"Down",0.354107648725212
"XLOC_012453","LVA_014974",9.7306,4.94161,-0.977549,0.01765,"Down",0.351274787535411
"XLOC_000020","LVA_000023",7.84105,3.9852,-0.976393,0.02635,"Down",0.348441926345609
"XLOC_005147","LVA_006001",3.09833,1.57488,-0.976253,0.0319,"Down",0.345609065155807
"XLOC_012209","LVA_014667",105.526,207.421,0.974956,0.02775,"Up",0.342776203966006
"XLOC_006408","LVA_007521",8.25072,4.20268,-0.973211,0.0273,"Down",0.339943342776204
"XLOC_008809","LVA_010438",17.7334,9.05293,-0.970015,0.0331,"Down",0.337110481586402
"XLOC_001501","LVA_001738",2.75843,1.41053,-0.967608,0.03075,"Down",0.334277620396601
"XLOC_009338","LVA_011055",42.1142,21.5707,-0.965234,0.01345,"Down",0.331444759206799
"XLOC_006348","LVA_007450",60.9193,118.826,0.963885,0.04205,"Up",0.328611898016997
"XLOC_010873","LVA_012950",3.01703,1.5505,-0.960399,0.04635,"Down",0.325779036827195
"XLOC_021952","LVA_027398",338.62,658.575,0.959683,0.0292,"Up",0.322946175637394
"XLOC_010676","LVA_012700",71.69,139.364,0.959011,0.01095,"Up",0.320113314447592
"XLOC_010817","LVA_012881",11.1398,5.73201,-0.958608,0.0118,"Down",0.31728045325779
"XLOC_018926","LVA_023198",61.4072,31.6242,-0.957377,0.0146,"Down",0.314447592067989
"XLOC_007699","LVA_009106",11.8238,6.09913,-0.955015,0.0222,"Down",0.311614730878187
"XLOC_021326","LVA_026471",34.1346,66.1588,0.954698,0.03455,"Up",0.308781869688385
"XLOC_001257","LVA_001462",4.63104,2.3894,-0.954685,0.03565,"Down",0.305949008498584
"XLOC_005381","LVA_006282",2.12877,1.09849,-0.954495,0.0173,"Down",0.303116147308782
"XLOC_012551","LVA_015092",11.2002,5.80158,-0.949003,0.0284,"Down",0.30028328611898
"XLOC_017059","LVA_020778",210.019,108.9,-0.94752,0.0164,"Down",0.297450424929178
"XLOC_002530","LVA_002921",13.3858,6.94676,-0.946291,0.0267,"Down",0.294617563739377
"XLOC_015455","LVA_018749",5.9367,3.08166,-0.945956,0.04955,"Down",0.291784702549575
"XLOC_011974","LVA_014367",8.15566,4.23406,-0.945761,0.0467,"Down",0.288951841359773
"XLOC_003080","LVA_003569",48.4589,93.2372,0.944144,0.0359,"Up",0.286118980169972
"XLOC_009300","LVA_011017",20.6681,10.7452,-0.943713,0.03575,"Down",0.28328611898017
"XLOC_020797","LVA_025720",2.69887,5.186,0.942264,0.0405,"Up",0.280453257790368
"XLOC_002319","LVA_002677",2.70122,1.40861,-0.939343,0.0484,"Down",0.277620396600567
"XLOC_022120","LVA_027659",65.9336,126.186,0.93647,0.0143,"Up",0.274787535410765
"XLOC_004827","LVA_005625",68.8511,131.716,0.935877,0.0495,"Up",0.271954674220963
"XLOC_018980","LVA_023273",4.38051,2.3,-0.929464,0.02825,"Down",0.269121813031161
"XLOC_012846","LVA_015468",9.31495,17.6669,0.923432,0.0222,"Up",0.26628895184136
"XLOC_011171","LVA_013307",7.5045,3.97224,-0.917802,0.0332,"Down",0.263456090651558
"XLOC_013010","LVA_015673",15.776,29.7851,0.916859,0.0265,"Up",0.260623229461756
"XLOC_019178","LVA_023534",344.093,182.549,-0.914512,0.0291,"Down",0.257790368271955
"XLOC_013206","LVA_015919",20.7679,11.0357,-0.912177,0.03285,"Down",0.254957507082153
"XLOC_003422","LVA_003977",95.868,180.376,0.91189,0.0185,"Up",0.252124645892351
"XLOC_003986","LVA_004629",5.75572,3.05973,-0.911594,0.03655,"Down",0.24929178470255
"XLOC_014738","LVA_017831",14.5849,7.7652,-0.909382,0.0345,"Down",0.246458923512748
"XLOC_019090","LVA_023415",31.8479,16.9684,-0.908346,0.02995,"Down",0.243626062322946
"XLOC_004603","LVA_005354",10.0199,5.34376,-0.906937,0.0331,"Down",0.240793201133144
"XLOC_008358","LVA_009898",10.1171,5.39626,-0.906758,0.0145,"Down",0.237960339943343
"XLOC_013785","LVA_016622",89.0241,47.52,-0.90566,0.03125,"Down",0.235127478753541
"XLOC_011125","LVA_013253",909.277,1703.3,0.90554,0.01675,"Up",0.232294617563739
"XLOC_009155","LVA_010835",8.8414,4.72066,-0.905287,0.0494,"Down",0.229461756373938
"XLOC_009091","LVA_010768",19.1642,10.2353,-0.904866,0.04415,"Down",0.226628895184136
"XLOC_000082","LVA_000087",43.6656,81.7563,0.904834,0.03375,"Up",0.223796033994334
"XLOC_013816","LVA_016666",4.01489,2.14845,-0.902069,0.04325,"Down",0.220963172804533
"XLOC_003138","LVA_003640",25.5657,13.6987,-0.900169,0.03195,"Down",0.218130311614731
"XLOC_005983","LVA_007021",9.64009,5.1654,-0.900166,0.01515,"Down",0.215297450424929
"XLOC_005951","LVA_006978",11.6868,6.26513,-0.899463,0.02165,"Down",0.212464589235127
"XLOC_012466","LVA_014990",7.36034,13.7237,0.89883,0.0287,"Up",0.209631728045326
"XLOC_012239","LVA_014706",2.88899,1.54986,-0.898432,0.04435,"Down",0.206798866855524
"XLOC_010217","LVA_012129",5.95484,3.19513,-0.898189,0.04325,"Down",0.203966005665722
"XLOC_009165","LVA_010849",37.8152,20.2959,-0.89778,0.0447,"Down",0.201133144475921
"XLOC_016576","LVA_020162",25.0065,13.4516,-0.894529,0.04085,"Down",0.198300283286119
"XLOC_009339","LVA_011056",22.1425,11.9714,-0.887229,0.02205,"Down",0.195467422096317
"XLOC_020111","LVA_024816",6.83824,3.70284,-0.884993,0.0393,"Down",0.192634560906516
