"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","isTarget","Common.Name","Biological.Process","IPR"
"XLOC_007422","LVA_008784",3.86022,6.99342,0.857314,0.04725,"Up"," ",NA,NA,NA
"XLOC_010534","LVA_012523",14.721,8.14614,-0.853689,0.03135,"Down"," ",NA,NA,NA
"XLOC_005122","LVA_005973",34.7517,19.2406,-0.852931,0.0202,"Down"," ",NA,NA,NA
"XLOC_014595","LVA_017644",6.82692,3.78812,-0.849755,0.03165,"Down"," ",NA,NA,NA
"XLOC_021901","LVA_027326",51.4335,28.5472,-0.849359,0.03235,"Down"," ",NA,NA,NA
"XLOC_000534","LVA_000608",4.49608,8.09563,0.848477,0.0464,"Up"," ",NA,NA,NA
"XLOC_000869","LVA_001036",11.5591,20.8067,0.848028,0.0347,"Up"," ",NA,NA,NA
"XLOC_010604","LVA_012615",21.093,37.8632,0.844031,0.037,"Up"," ",NA,NA,NA
"XLOC_017384","LVA_021233",172.604,308.663,0.838566,0.02245,"Up"," ",NA,NA,NA
"XLOC_003656","LVA_004261",11.0886,6.20194,-0.838286,0.0473,"Down"," ",NA,NA,NA
"XLOC_020379","LVA_025155",9.56473,5.35971,-0.835569,0.03335,"Down"," ",NA,NA,NA
"XLOC_009572","LVA_011337",476.613,848.94,0.832845,0.02475,"Up"," ",NA,NA,NA
"XLOC_008458","LVA_010007",41.0827,23.0704,-0.832489,0.0292,"Down"," ",NA,NA,NA
"XLOC_014331","LVA_017336",6.74631,3.7899,-0.831937,0.04345,"Down"," ",NA,NA,NA
"XLOC_006459","LVA_007580",20.9558,11.7985,-0.828742,0.0297,"Down"," ",NA,NA,NA
"XLOC_005677","LVA_006654",8.03488,14.2525,0.826863,0.0448,"Up"," ",NA,NA,NA
